Ticker,MAE,RMSE,R2
RELIANCE.NS,17.96,22.73,0.9627
HDFCBANK.NS,21.04,27.6,0.9319
TCS.NS,53.56,69.04,0.9542
BHARTIARTL.NS,31.36,40.6,0.8391
ICICIBANK.NS,16.55,22.27,0.8727
SBIN.NS,10.16,13.1,0.9141
INFY.NS,25.92,32.99,0.9719
BAJFINANCE.NS,105.49,142.23,0.9637
HINDUNILVR.NS,30.82,41.29,0.9626
ITC.NS,4.82,6.65,0.9617
AXISBANK.NS,17.61,23.40,0.9206
HCLTECH.NS,30.55,40.20,0.9378
KOTAKBANK.NS,25.75,35.37,0.9206
M&MFIN.NS,5.15,6.53,0.9044
MARUTI.NS,165.15,219.97,0.8732
NTPC.NS,9.54,11.61,0.9049
SUNPHARMA.NS,31.14,39.01,0.9162
ULTRACEMCO.NS,185.72,242.09,0.6746
